whrswk,hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,wght,experience_whrswk,whrswk_husby,adjusted_experience,education_level,experience_education,family_responsibility_index,hours_per_dependent,hours_per_child_lt6,experience_squared,hours_worked_bracket,career_stage
0,no,no,no,13-15years,white,no,13.0,2,1,11.96,northcentral,214986,0.0,0.0,4.333333333333333,4,52.0,3,0.0,0.0,169.0,,Mid
50,no,yes,no,13-15years,white,no,24.0,0,1,1.2,northcentral,210119,1200.0,60.0,24.0,4,96.0,1,25.0,50.0,576.0,fulltime,Late
40,yes,no,yes,12years,white,no,43.0,0,0,31.275,northcentral,219955,1720.0,1251.0,43.0,3,129.0,0,40.0,40.0,1849.0,fulltime,Very Late
40,no,yes,yes,13-15years,white,no,17.0,0,1,9.0,northcentral,210317,680.0,360.0,17.0,4,68.0,1,20.0,40.0,289.0,fulltime,Late
0,yes,no,yes,9-11years,white,no,44.5,0,0,0.0,northcentral,219955,0.0,0.0,44.5,2,89.0,0,0.0,0.0,1980.25,,Very Late
40,yes,yes,yes,12years,white,no,32.0,0,0,15.69,northcentral,208148,1280.0,627.6,32.0,3,96.0,0,40.0,40.0,1024.0,fulltime,Very Late
40,yes,no,yes,16years,white,no,14.0,0,0,26.0,northcentral,213615,560.0,1040.0,14.0,5,70.0,0,40.0,40.0,196.0,fulltime,Mid
25,no,no,no,12years,white,no,1.0,1,0,0.338,northcentral,181960,25.0,8.450000000000001,0.5,3,3.0,1,12.5,12.5,1.0,parttime,Early
45,no,yes,no,16years,white,no,4.0,0,0,10.0,northcentral,214874,180.0,450.0,4.0,5,20.0,0,45.0,45.0,16.0,fulltime,Early
30,no,no,yes,13-15years,white,no,7.0,1,0,30.0,northcentral,214874,210.0,900.0,3.5,4,28.0,1,15.0,15.0,49.0,parttime,Mid
40,no,no,no,12years,white,no,23.0,0,3,18.0,northcentral,206875,920.0,720.0,23.0,3,69.0,3,10.0,40.0,529.0,fulltime,Late
32,no,no,no,16years,white,no,9.0,2,0,22.0,northcentral,211666,288.0,704.0,3.0,5,45.0,2,10.666666666666666,10.666666666666666,81.0,fulltime,Mid
40,no,yes,no,12years,white,no,31.0,0,2,19.5,northcentral,254185,1240.0,780.0,31.0,3,93.0,2,13.333333333333334,40.0,961.0,fulltime,Very Late
0,yes,no,yes,12years,white,no,20.0,0,2,42.0,northcentral,260862,0.0,0.0,20.0,3,60.0,2,0.0,0.0,400.0,,Late
40,yes,no,yes,12years,white,no,35.0,0,0,32.0,northcentral,243750,1400.0,1280.0,35.0,3,105.0,0,40.0,40.0,1225.0,fulltime,Very Late
40,no,yes,yes,12years,white,no,20.0,1,0,25.0,northcentral,261561,800.0,1000.0,10.0,3,60.0,1,20.0,20.0,400.0,fulltime,Late
0,yes,no,yes,12years,white,no,33.0,0,0,42.0,northcentral,244403,0.0,0.0,33.0,3,99.0,0,0.0,0.0,1089.0,,Very Late
20,yes,no,yes,12years,white,no,9.0,2,0,16.0,northcentral,263103,180.0,320.0,3.0,3,27.0,2,6.666666666666667,6.666666666666667,81.0,parttime,Mid
0,yes,no,yes,12years,white,no,21.0,0,2,0.0,northcentral,260862,0.0,0.0,21.0,3,63.0,2,0.0,0.0,441.0,,Late
45,no,yes,yes,13-15years,white,no,16.0,0,2,36.0,northcentral,260862,720.0,1620.0,16.0,4,64.0,2,15.0,45.0,256.0,fulltime,Late
40,no,yes,no,12years,white,no,45.0,0,0,0.0,northcentral,272816,1800.0,0.0,45.0,3,135.0,0,40.0,40.0,2025.0,fulltime,Very Late
30,yes,no,yes,12years,white,no,47.0,0,0,28.0,northcentral,261116,1410.0,840.0,47.0,3,141.0,0,30.0,30.0,2209.0,parttime,Very Late
40,no,yes,yes,12years,white,no,35.0,0,0,20.0,northcentral,243750,1400.0,800.0,35.0,3,105.0,0,40.0,40.0,1225.0,fulltime,Very Late
22,yes,no,yes,12years,white,no,46.0,0,0,0.0,northcentral,261116,1012.0,0.0,46.0,3,138.0,0,22.0,22.0,2116.0,parttime,Very Late
17,yes,no,yes,12years,white,no,47.0,0,0,2.9,northcentral,143305,799.0,49.3,47.0,3,141.0,0,17.0,17.0,2209.0,parttime,Very Late
20,yes,no,yes,13-15years,white,no,13.0,1,1,50.0,northcentral,137675,260.0,1000.0,6.5,4,52.0,2,6.666666666666667,10.0,169.0,parttime,Mid
0,no,no,no,12years,white,no,47.0,0,0,0.006,northcentral,136931,0.0,0.0,47.0,3,141.0,0,0.0,0.0,2209.0,,Very Late
40,no,yes,no,>16years,white,no,31.0,0,0,0.0,northcentral,132190,1240.0,0.0,31.0,6,186.0,0,40.0,40.0,961.0,fulltime,Very Late
45,no,no,no,>16years,white,no,31.0,0,0,25.464,northcentral,128454,1395.0,1145.8799999999999,31.0,6,186.0,0,45.0,45.0,961.0,fulltime,Very Late
